Book Title,Chapter Title,Date of Highlight,Book URL,Chapter URL,Annotation URL,Highlight,Color,Personal Note
Kali Linux Wireless Penetration Testing Cookbook,Attacks against authentication,2025-02-26,https://learning.oreilly.com/library/view/-/9781783554089/,https://learning.oreilly.com/library/view/-/9781783554089/a504b05f-0446-4334-823a-2a3a4083c9e3.xhtml,https://learning.oreilly.com/library/view/-/9781783554089/a504b05f-0446-4334-823a-2a3a4083c9e3.xhtml#0cce13cc-7d2e-4736-936c-c587623cef94,"Authorization takes your validated identity and compares it against a set of rules that are configured on the system. These rules are used to determine what your specific level of access and interaction with the system will be and are configured and put in place by whoever the system owner administrator happens to be, in accordance with their guidance and the standards that they wish to have in place",YELLOW,def. authorization
Kali Linux Wireless Penetration Testing Cookbook,Attacks against authentication,2025-02-26,https://learning.oreilly.com/library/view/-/9781783554089/,https://learning.oreilly.com/library/view/-/9781783554089/a504b05f-0446-4334-823a-2a3a4083c9e3.xhtml,https://learning.oreilly.com/library/view/-/9781783554089/a504b05f-0446-4334-823a-2a3a4083c9e3.xhtml#574b2867-0e6a-494f-b1ee-40f55a7542a0,"When we say authentication, we are performing some sort of action which proves that the claim a user is making about who they are is actually valid. The most common way to do this is through the use of a password; many of us have run the situations where we provide a username, which would be our identity, and then we provide a password, which is a secret piece of information that only we know, that can be used to say we are who we say we are and you can trust us.",YELLOW,def. authentication
Kali Linux Wireless Penetration Testing Cookbook,Executing a deauthentication flood,2025-02-26,https://learning.oreilly.com/library/view/-/9781783554089/,https://learning.oreilly.com/library/view/-/9781783554089/6a30e868-f561-4d8b-8a6b-c5b46d61066a.xhtml,https://learning.oreilly.com/library/view/-/9781783554089/6a30e868-f561-4d8b-8a6b-c5b46d61066a.xhtml#50e11095-566a-48e5-a82e-c41cccd1dc25,"There is another use of deauthentication frames that can be very handy for someone performing pen testing against a wireless network, or network in general, and that is using it to grab passwords or keys for the network. In this situation, an attacker will send out an AE deauthentication flood and bump off clients for a client from a targeted network. When that client attempts to reconnect, the attacker will sniff the traffic that is generated during that connection and try to extract the connection information exchange. This type of attack can also be used to induce a man-in-the-middle situation where the attacker will deauthenticate a victim and then force them to re-authenticate through a rogue access point. They'll then direct the traffic on to an internet connection or whatever the actual legitimate network is. In essence, what is happening is that we would first issue a deauthentication frame or flood, and then we would use the man-in-the-middle or rogue access point setup that we explored in a previous chapter, and then we would be able to pick up these credentials as a handshake.",YELLOW,types of deauth attacks
Kali Linux Wireless Penetration Testing Cookbook,Executing a deauthentication flood,2025-02-26,https://learning.oreilly.com/library/view/-/9781783554089/,https://learning.oreilly.com/library/view/-/9781783554089/6a30e868-f561-4d8b-8a6b-c5b46d61066a.xhtml,https://learning.oreilly.com/library/view/-/9781783554089/6a30e868-f561-4d8b-8a6b-c5b46d61066a.xhtml#62ebaa62-e033-45c6-8ed7-534776da933e,"This attack is known as a disassociation flood. In this type of attack, the malicious parties are trying to break the association that a client has with an access point. When this type of attack is carried out, clients will experience a situation where they are bumped off the wireless access point and will find themselves trying to reconnect to the access point.",YELLOW,def. deauthentication attack
Kali Linux Wireless Penetration Testing Cookbook,Man-in-the-middle with wireless,2025-02-26,https://learning.oreilly.com/library/view/-/9781783554089/,https://learning.oreilly.com/library/view/-/9781783554089/6a2938df-cf84-4ac3-8542-42a204d5df50.xhtml,https://learning.oreilly.com/library/view/-/9781783554089/6a2938df-cf84-4ac3-8542-42a204d5df50.xhtml#7670fe63-22eb-4802-9805-7bd4aeeba799,"Something important to point out with man -in-the-middle attacks is that they can be otherwise undetectable to the client that has been victimized by the attack. As far as the victim's concerned, when a man-in-the-middle attack is occurring they are communicating with whoever they were originally intending to communicate with; they don't know that there is a third party intercepting and potentially manipulating their traffic in some way. If the attacker doesn't do anything to make their presence known, or tip off anyone that they are there, it can be very difficult to pick up their presence.",YELLOW,difficulty of detecting MITM
Kali Linux Wireless Penetration Testing Cookbook,Creating an evil twin,2025-02-26,https://learning.oreilly.com/library/view/-/9781783554089/,https://learning.oreilly.com/library/view/-/9781783554089/709926dd-8246-40c6-b6bb-94442a58833a.xhtml,https://learning.oreilly.com/library/view/-/9781783554089/709926dd-8246-40c6-b6bb-94442a58833a.xhtml#8b409146-63b1-4ce3-880e-1cceb2283d9b,"An evil twin attack takes place when a rogue access point is configured in a way that is identical to a legitimate access point and placed in close proximity. To the outside world and users, an evil twin that is placed closer and/or is generating a stronger signal will be the one they will most likely attach to instead of a legitimate access point. If the user chooses to connect to the access point manually or automatically, the evil twin will become the end user's access point and gateway to the internet. Since a malicious party will be in control of the evil twin, they will be able to intercept any traffic that transits their AP and even modify or redirect it as desired. This means that the attacker has the ability to steal information including sensitive data such as passwords, usernames, and other data.",YELLOW,evil twin attack
Kali Linux Wireless Penetration Testing Cookbook,Introduction,2025-02-26,https://learning.oreilly.com/library/view/-/9781783554089/,https://learning.oreilly.com/library/view/-/9781783554089/d5c7f97f-41c5-4d23-9776-fc2df5f13add.xhtml,https://learning.oreilly.com/library/view/-/9781783554089/d5c7f97f-41c5-4d23-9776-fc2df5f13add.xhtml#a168b8f3-8565-485d-9429-6377cc967cba,"As we learned in the previous chapter, the integrity of data is an essential component of security, but it is only one piece of the CIA triad. Another leg of this triad is the aspect of confidentiality, which addresses the issues relating to the protection of information against unauthorized disclosure. This aspect alone can be a make or break issue for an organization, as losing control of information and having that same information appear on a website, in a newspaper, or another outlet can be the source of a lot of negative consequences—including lawsuits.",YELLOW,importance of confidentiallity
Kali Linux Wireless Penetration Testing Cookbook,How to do it...,2025-02-25,https://learning.oreilly.com/library/view/-/9781783554089/,https://learning.oreilly.com/library/view/-/9781783554089/b8e73fc0-a3b3-44e0-aafa-698a4d5491b2.xhtml,https://learning.oreilly.com/library/view/-/9781783554089/b8e73fc0-a3b3-44e0-aafa-698a4d5491b2.xhtml#8eea96bd-1592-48f1-9c7b-9856dce5a230,"Start the wireless interface in monitor mode on the specific AP channel.
Test the injection capability of the wireless device to the AP.
Use aireplay-ng to do a fake authentication with the access point.
Start airodump-ng on an AP channel with a bssid filter to collect the new unique IVs.
Start aireplay-ng in ARP request replay mode to inject packets.
Run aircrack-ng to crack the key using the IVs collected.",YELLOW,WEP cracking procedure
Kali Linux Wireless Penetration Testing Cookbook,Cracking WEP,2025-02-25,https://learning.oreilly.com/library/view/-/9781783554089/,https://learning.oreilly.com/library/view/-/9781783554089/756c4a2e-2b73-46d1-ae50-23050a14200a.xhtml,https://learning.oreilly.com/library/view/-/9781783554089/756c4a2e-2b73-46d1-ae50-23050a14200a.xhtml#c9500aa5-ab1d-4275-bc42-f49c29b9ced8,"The protocol was designed without review from experienced cryptologists or the academic community, or even the public.
It provides no clearly-defined method for key distribution (such as centralized key management) other than pre-shared keys, which must be input manually into each station. As a result, the keys are cumbersome to change on a large scale; thus, rarely changed.
Its design makes it possible to passively uncover the key using sniffing tools and cracking tools available freely in operating systems, such as the Linux-based Kali.
Key generators used by different vendors are inconsistently and poorly designed, leading to vulnerabilities such as issues with the use of 40-bit keys.
The algorithms used to perform key scheduling have been shown to be vulnerable to attack.
CRC32 used in integrity checking is flawed, and with slight modifications packets may be modified consistently by an attacker to produce their desired results.
Initialization Vectors (IVs) are only 24-bits in length, meaning that an entire pool of IVs can be exhausted by a mildly active network in five hours or less.
It is susceptible to known plaintext attacks through the analysis of packets.
Keys may be uncovered through the analysis of packets allowing for the creation of a decryption table.
It is susceptible to denial of service attacks through the use of associate and disassociate messages, which are not authenticated by WEP.",YELLOW,WEP vulnerabilities
Kali Linux Wireless Penetration Testing Cookbook,Cracking WEP,2025-02-25,https://learning.oreilly.com/library/view/-/9781783554089/,https://learning.oreilly.com/library/view/-/9781783554089/756c4a2e-2b73-46d1-ae50-23050a14200a.xhtml,https://learning.oreilly.com/library/view/-/9781783554089/756c4a2e-2b73-46d1-ae50-23050a14200a.xhtml#f2b5f282-dd14-41db-bbbe-5aeba6cba5b2,"WEP is the oldest of the wireless encryption protocols and when originally introduced and integrated into the 802.11b standard, it was viewed as a way of providing security of data transmissions more or less on a par with that of wired networks. As designed, the WEP protocol made use of some existing technologies, including the RC4 encryption protocol.

When it was designed and debuted it was intended to accomplish the following:

    Defeat eavesdropping on communications and attempt to reduce unauthorized disclosure of data
    Check the integrity of data as it flows across the network
    Use a shared secret key to encrypt packets prior to transmission
    Provide confidentiality, access control, and integrity in a lightweight, efficient system",YELLOW,WEP overview
